arm,n_evaluable,accuracy,semantic_supported_accuracy,span_unsupported_rate,semantic_unsupported_rate,abstention_rate,coverage
A_zero_shot,600,0.675,0.16333333333333333,0.26,0.6866666666666666,0.09,0.91
C_constrained,600,0.6966666666666667,0.18666666666666668,0.20666666666666667,0.63,0.12166666666666667,0.8783333333333333
C_plus_unknown,600,0.6366666666666667,0.17666666666666667,0.15333333333333332,0.5316666666666666,0.23833333333333334,0.7616666666666667
D_grounded,600,0.6283333333333333,0.21,0.105,0.5116666666666667,0.20166666666666666,0.7983333333333333
