arm,n_evaluable,accuracy,semantic_supported_accuracy,span_unsupported_rate,semantic_unsupported_rate,abstention_rate,coverage
A_zero_shot,3000,0.689,0.2663333333333333,0.2776666666666667,0.5943333333333334,0.065,0.935
C_constrained,3000,0.702,0.2976666666666667,0.19,0.5166666666666667,0.11066666666666666,0.8893333333333333
C_plus_unknown,3000,0.6293333333333333,0.275,0.165,0.43966666666666665,0.228,0.772
D_grounded,3000,0.623,0.31133333333333335,0.09933333333333333,0.4043333333333333,0.20266666666666666,0.7973333333333333
